"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\layout\index.blade.php", "PHP", 123, 0, 0, 0, 17, 140
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\layout\simple.blade.php", "PHP", 60, 0, 0, 0, 6, 66
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\logo.blade.php", "PHP", 52, 0, 0, 0, 6, 58
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\page\index.blade.php", "PHP", 138, 0, 0, 0, 31, 169
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\page\simple.blade.php", "PHP", 19, 0, 0, 0, 6, 25
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\page\sub-navigation\select.blade.php", "PHP", 40, 0, 0, 0, 4, 44
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\page\sub-navigation\sidebar.blade.php", "PHP", 26, 0, 0, 0, 4, 30
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\page\sub-navigation\tabs.blade.php", "PHP", 71, 0, 0, 0, 7, 78
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\page\unsaved-data-changes-alert.blade.php", "PHP", 65, 0, 0, 0, 12, 77
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\resources\relation-managers.blade.php", "PHP", 104, 0, 0, 0, 13, 117
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\resources\tabs.blade.php", "PHP", 30, 0, 0, 0, 5, 35
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\sidebar\group.blade.php", "PHP", 204, 0, 0, 0, 21, 225
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\sidebar\index.blade.php", "PHP", 163, 0, 0, 2, 15, 180
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\sidebar\item.blade.php", "PHP", 145, 0, 0, 1, 9, 155
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\tenant-menu.blade.php", "PHP", 151, 0, 0, 0, 18, 169
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\theme-switcher\button.blade.php", "PHP", 28, 0, 0, 0, 3, 31
"c:\wamp64\www\PK\resources\views\vendor\filament-panels\components\theme-switcher\index.blade.php", "PHP", 23, 0, 0, 0, 4, 27
